yy	mm	dd	Sardegna_CA011B097	Sardegna_CA013B093	Sardegna_CA026B079	Sardegna_CA029B017	Sardegna_CA030B175	Sardegna_CA034B191	Sardegna_CA038B170	Sardegna_CA039B232	Sardegna_CA040B077	Sardegna_CA045B021	Sardegna_CA051B276	Sardegna_CA054B109	Sardegna_CA061B225	Sardegna_CA067B113	Sardegna_CA069B312	Sardegna_CA073B050	Sardegna_CA073B171	Sardegna_CA078B229	Sardegna_CA082A008	Sardegna_CA082B039	Sardegna_CA084B044	Sardegna_CA085B210	Sardegna_CA086B062	Sardegna_CA088B119	Sardegna_CA092B140	Sardegna_CA095B182	Sardegna_CA102B148	Sardegna_CA103B212	Sardegna_CA104B085	Sardegna_CA105B047	Sardegna_NU002B035	Sardegna_NU004B216	Sardegna_NU015B068	Sardegna_NU016B126	Sardegna_NU022B201	Sardegna_NU034B095	Sardegna_NU042B031	Sardegna_NU043B096	Sardegna_NU045B433	Sardegna_NU048A002	Sardegna_NU048B065	Sardegna_NU058B202	Sardegna_NU060B054	Sardegna_NU063B023	Sardegna_NU063B025	Sardegna_NU063B172	Sardegna_NU063B227	Sardegna_NU065B051	Sardegna_NU067B101	Sardegna_NU073B090	Sardegna_NU076B127	Sardegna_NU076B180	Sardegna_NU077B067	Sardegna_NU078B020	Sardegna_NU079B194	Sardegna_NU083B009	Sardegna_NU090B049	Sardegna_NU095B211	Sardegna_OR004B207	Sardegna_OR009B001	Sardegna_OR025B037	Sardegna_OR030B156	Sardegna_OR032E006	Sardegna_OR038B181	Sardegna_OR039B174	Sardegna_OR042B200	Sardegna_OR073B221	Sardegna_OR077B103	Sardegna_SS001B271	Sardegna_SS002B078	Sardegna_SS003B139	Sardegna_SS005B003	Sardegna_SS012B002	Sardegna_SS013B169	Sardegna_SS013B224	Sardegna_SS014B110	Sardegna_SS015B041	Sardegna_SS018B022	Sardegna_SS022B165	Sardegna_SS022B187	Sardegna_SS025B151	Sardegna_SS028B107	Sardegna_SS028B236	Sardegna_SS038B038	Sardegna_SS038B111	Sardegna_SS042B045	Sardegna_SS051B087	Sardegna_SS052B048	Sardegna_SS053B458	Sardegna_SS054B034	Sardegna_SS059A001	Sardegna_SS059B061	Sardegna_SS059B159	Sardegna_SS060B237	Sardegna_SS068B230	Sardegna_SS073B028	Sardegna_SS077B168	Sardegna_SS086B155
1989	11	29	11	16.5	18	NA	17	NA	14	12	16	16	17	18	18	16	17	14.4	18	18	17.2	18.8	17	11.5	18	14	18	17	20	17	12	17	10	18	17	19	NA	12.5	15	12	NA	10	10	13	15	10	11	16	NA	13	14	14.2	12	11	10	17	9	9	11	16	21	NA	14	12	20	18	15	17	19	13	NA	13.2	23	11	10	NA	13	15	12	16	14	13	15	13	11	16	14	14	18	14	NA	9	14.4	16	16	9	10.5	15	15	15
1989	11	30	11	14	16	NA	15	NA	11	10	15	15	18	15	17	15	17	13.2	17	17	17.4	12.6	17	12.5	16	14	18	19	17	17	10	15	14	18	17	19.5	NA	12.5	10	12	NA	10	8.5	13.5	14	8	8	14	NA	9	13	15.6	10	9	6	16	9	6	11	12	20	NA	16	11	19	18	15	17	15	14	NA	15	18	14	15	NA	9.5	13	12	16	14	12	15	15	9.5	16	17	14	17	13	NA	10	16.4	17	19	17	12	15	15	15
1989	12	01	11	14	15	NA	15	NA	10	9	15	17	18.5	14	16	NA	18	10.2	14	16	15.6	12.6	18	13.5	16	14	18	21	14	15	9	13	14.5	12	16	18	NA	10.5	13	10	NA	8	8	13	17.2	8	7	14	NA	10	15	14.3	10	10.5	7	14	8	6	9	13	17	14	15	11	17.6	18	14	14	18	13	NA	12.4	20	8	11	NA	9.5	15	11	15	14	10	15	14	7	15	15	13	11	14	NA	8	14.8	17	16	14.5	11	14	13	15
1989	12	02	11	13	14	NA	13	NA	11	9	20	15	NA	14	15	NA	17	11.4	15	12	15.2	14.4	16	13	18	12	16	17	15	15	9	14	14	10	11	22	NA	8	9	10	NA	NA	6	8.5	11	8	6	11	NA	8	10	14.2	12	8	5	14	6	6	10	12.5	15	9	11	12	14	12	14	13	16	13	NA	10.8	21	9	7	NA	11	11	11	13	10	8	14	9	6	15	18	12	11	15	NA	6	11.8	16	14	13	7	13	13	10
1989	12	03	10.8	14	13	NA	12	NA	9	9	12	16	16.5	13	12	NA	13	11.8	13	15	13.6	13.4	13	11	18	15	14	19	14	15	9	11	11.5	10	11	12.5	NA	9.2	11	11	NA	7	8	10	11	8	5	11	NA	8	12	13.6	12	9	7	14	8	6	10	14	15	11	12	13	14.4	15	14	12	11	12	NA	10.4	18	11	10	NA	11.5	12	11	12	11	10	14	10	10	15	18	12	18	14	NA	5	12.2	16	14	13	8.5	12	9	12
1989	12	04	13	14	14	NA	12	NA	12	11	16	15	16.5	15.5	16	13	15	12.2	17	17	16.8	16.6	16	12	18	16	17	20	16	17	10	15	16	15	11	14.6	NA	11	12	10	NA	10	9.5	12.5	11.4	10	10	13	NA	11	13	13.4	10	10	10	16	10	9	10	15	16	12	13	14	16.3	15	14	15	15	13	NA	14	20	12	11	NA	14.5	16	11	14	13	12	15	13	12	16	16	14	21	16	NA	9	14.4	17	12	14	11	16	12	14
1989	12	05	11	17	17	NA	16	NA	15	14	15	18	17	18	18	16	16	10.8	18	18	16.4	16.8	16	13	20	17	18	17	19	18	11	18	16	15	16	18.5	NA	14	15	15	NA	NA	12.5	13	12	15	12	18	NA	11	13	13.2	12	12	15	19	12	11	13	19	16	16	14	13	18.8	18	15	18	15	13	NA	14	21	12	12	NA	15	18	12	13	16	14	16	15	13	16	15	14	20	15	NA	12	16	17	19	15.5	13.5	15	15	17
1989	12	06	13	18	18	NA	16	NA	14	15	16	18	17.5	17.5	18	16	18	12	18	21	17.4	17	17	14	21	15	18	18	18	19	16	17	14	18	17	20	NA	13.5	15	16	NA	12	17	14	16.5	10	13	18	NA	13	14	14.2	13	12	14	19	12	9	13	18	16	16	15	14	19.5	19	16	18	15	14	NA	16	22	13	14	NA	14	18	15	13	16	16	17	16	12	16	15	14	21	15	NA	11	15.8	18	18	17.5	13	16	17	17
1989	12	07	17	19	20	NA	19	NA	17	17	16	19	17.5	20	20	18	17	11.8	20	19	17.8	15.7	19	16.5	18	18	20	19	20	20	15	19	14	15	19	20	NA	14.5	16	15	NA	12	12.5	16	15	14	14	18	NA	15	17	16.3	15	11	15	17	12	14	15	17.5	21	18	18	14	21.6	19	18	20	21	18	NA	14	22	13	15	NA	14	16	15	14	16	14	15	12	11.5	15	13	16	21	15	NA	11	16.2	16	18	16	14	15	17	17
1989	12	08	14	18	18	NA	16	NA	15	15	15	20	17	18	18	18	18	11.4	20	17	18.8	15.4	20	16	18	18	20	18	18	21	15	18	13	15	18	19.5	NA	13.5	15	15	NA	NA	13.5	14	12	15	14	16	NA	11	13	16.4	13	12	13	18	12	11	12	17	20	16	16	13	19	19	17	19	19	16	NA	13.8	21	13	14	NA	14	16	13	15	16	13	15	14	11	15	14	15	21	14	NA	10	16.2	16	16	15.5	13.5	17	15	17
1989	12	09	11	16	17	NA	13	NA	13	12	16	17	17	17	20	16	17	10.2	18	17	19.4	18.9	21	13	17	13	18	18	19	19	12	17	15	19	19	21.5	NA	12.5	14	14	NA	NA	8.5	11.5	9	12	11	22	NA	10	12	16	10	9	9	18	9	9	11	18	16	13	13	13	14.6	15	13	17	15	13	NA	14	22	12	13	NA	14	17	12	16	14	13	15	14	9	14	15	13	18	14	NA	9	15	16	17	14.5	14.5	15	16	16
1989	12	10	11	14	16	NA	15	NA	12	11	15	18	17	14	16	15	16	8.8	14	17	16.4	16.2	16	14	17	16	18	19	18	16	10	14	12	13	19	18.5	NA	10	12	14	NA	NA	6.3	10	9	8	8	14	NA	8	12	18	10	9	8	15	8	7	11	14	16	12	14	12	15	15	13	14	15	13	NA	13	26	11	10	NA	14	14	12	15	12	11	15	12	7	14	15	13	18	15	NA	6	14	15	15	12.5	10	14	15	15
1989	12	11	10	14	14	NA	14	NA	11	10	15	16	17	14	16	16	16	9.2	15	16	15.4	15.5	15	12	17	12	16	19	15	16	10	12	10	9	17	13	NA	9.5	10	9	NA	NA	8	10	7.3	12	8	14	NA	8	9	19.7	12	9	9	14	7	7	9	18	16	9	14	11	14.8	16	11	15	14	13	NA	11.2	13	12	8	NA	10	15	8	15	10	11	12	10	10	14	10	10	12	15	NA	7	14.4	15	15	14	10	12	13	10
1989	12	12	13	14	16	NA	13	NA	12	13	15	15	16	15	16	16	18	10.2	14	16	14.4	15.1	15	13.5	17	14	16	15	17	17	11	15	14	15	15	17.5	NA	11.2	13	12	NA	NA	11	12	14	8	12	17	NA	11	13	19.8	11	11	9	16	9	9	13	15.5	15	13	14	12	16.5	17	13	15	15	13	NA	12.2	22	12	12	NA	11	14	11	17	11	12	15	14	12.5	14	16	14	21	16	NA	7	14	16	15	16	10.5	11	14	14
1989	12	13	15	15	15	NA	16	NA	14	14	16	19	17	16	17	16	18	10.6	18	20	16.8	16.9	18	14	20	16	19	17	20	17	13	18	18	17	12	19	NA	14	14	14	NA	NA	11	14	12.5	12	13	16	NA	13	13	18.3	12	12	14	23	12	11	15	19	16	15	15	13	17	17	15	17	15	13	NA	16.6	24	15	15	NA	15	17	15	21	12	15	17	15	14.5	14	14	14	24	17	NA	11	16.6	18	18	16	14	15	16	15
1989	12	14	16	19	20	NA	19	NA	19	20	20	18	17	22.5	22	16	20	10.4	21	20	20.6	20.5	21	16.5	21	19	20	19	22	21	18	22	20	19	18	22	NA	15.8	16	15	NA	13	18.5	17	17	18	16	22	NA	18	17	18.2	17	16	14	23	16	15	16	22	21	17	18	13	21	21	18	21	21	18	NA	19.4	21	19	18	NA	20	22	17	20	12	15	18	19	16	15	15	18	24	18	NA	13	17	19	19	15	14.5	16	20	19
1989	12	15	17	20	21	NA	21	NA	17	18	21	20	17	22.5	22	17	20	10.6	20	23	21.4	20.6	22	16	22	20	21	19	22	20	17	21	20	23	22	22	NA	17	18	18	NA	11.6	15	17	17	16	15	23	NA	17	17	19.8	15	15	17	25	13	14	19	21	20	16	20	13	20	20	19	20	21	19	NA	20.6	29	19	18	NA	20	19	19	19	19	18	20	19	18	16	18	20	24	18	NA	14	17.4	20	19	20	16	17	22	20
1989	12	16	18	20	22	NA	22	NA	21	20	23	19	17	24.5	25	21	20	10.8	23	23	22.8	NA	22	19	23	22	22	20	23	23	17	23	21	24	24	24	NA	18	19	12	NA	NA	17	17	19.5	18	17	25	NA	18	19	20.3	17	17	18	24	16	15	20	23	24	21	20	16	24	18	21	23	25	20	NA	21.2	29	20	19	NA	21	21	21	20	19	19	20	21	19	19	18	20	24	18	NA	15	19.6	21	20	19.5	17	16	21	20
1989	12	17	19	21	23	NA	21	NA	20	20	25	20	18	23.5	24	21	21	11.4	24	23	23.2	22.7	23	20	23	18	23	19	25	24	17	24	23	24	23	25	NA	19	19	20	NA	14	16.5	17.5	20	20	17	25	NA	18	19	20.2	18	15	15	26	16	16	20	23	22	20	18	16	23.5	18	20	22	21	21	NA	21.8	29	21	20	NA	22	21	21	22	20	17	20	21	18.5	19	20	21	25	18	NA	14	21	20	20	19	17	18	22	21
1989	12	18	18	21	21	NA	20	NA	20	21	22	22	18	21	22	20	19	12.4	22	19	20.4	23	21	19	18	18	23	18	23	23	17	22	21	22	20	22	NA	18.5	20	22	NA	15	19	20	20	18	18	23	NA	18	20	20.3	18	18	15	20	19	17	20	22	22	20	19	21	23.8	24	20	21	22	20	NA	21	25	22	21	NA	20.5	21	23	22	22	19	20	22	14	19	22	22	23	18	NA	19	21.4	22	19	15.5	17.5	17	22	20
1989	12	19	16	16	18	NA	17	NA	13	15	17	18	18	21	20	21	19	11.8	18	18	20.2	19.1	20	15.5	19	17	18	18	21	18	18	19	17	18	20	22	NA	14.8	15	14	NA	10	13	17	19	18	13	20	NA	12	14	19.3	12	14	16	21	12	11	13	19	21	15	20	18	19.5	19	16	18	18	16	NA	19	26	13	15	NA	18	18	17	18	20	15	20	19	13.5	18	18	18	20	19	NA	12	17.8	19	19	15.5	13	15	20	17
1989	12	20	14	17	18	NA	16	NA	15	14	15	18	18	21	20	21	20	12.2	20	23	19.4	19.8	18	19	22	18	20	19	22	19	15	19	17	19	20	22	NA	13.5	14	15	NA	NA	12	18	10	14	15	21	NA	12	12	18.2	12	11.5	17	20	12	11	13	19	18	15	15	19	19	17	18	18	18	16	NA	17.2	26	15	15	NA	18	19	11	18	19	15	17	17	14.5	19	17	18	20	19	NA	12	16.8	19	18	16	13	13	18	17
1989	12	21	12	17	22	NA	20	NA	19	20	19	20	17.5	22.5	20	21	21	11.8	23	21	20.2	21.8	21	19.5	21	19	22	20	22	22	19	22	20	22	17	22.5	NA	16.3	18	18	NA	15	19	18	20.4	20	19	22	NA	19	18	18.6	19	18	20	20	15	11	19	22	20	19	19	20	23	22	18	21	22	16	NA	19.2	23	18	19	NA	20	22	19	20	19	18	18	19	18	19	19	15	23	18	NA	12	17.2	19	20	18.5	15.5	14	17	19
1989	12	22	11	20	22	NA	18	NA	19	21	21	19	17.5	22	21	21	20	12.2	24	17	21.4	21.5	22	15	17	20	21	19	24	23	20	21	21.5	24	17	22	NA	19	19	22	NA	15	21.5	20	21.5	20	19	25	NA	18	20	19.2	19	18	10	23	19	16	20	23	21	20	20	22	22	19	20	20	22	15	NA	22	24	20	21	NA	23	21	22	22	20	17	20	20	12.5	19	20	15	20	14	NA	9	19	20	20	17	17	17	20	19
1989	12	23	11	14	16	NA	13	NA	14	13	15	18	NA	21.5	22	NA	21	13.4	21	17	18	22	19	13	16	16	17	15	22	18	12	18	17	16	18	22	NA	11	17	15	NA	NA	12	13	14	20	13	21	NA	13	15	19.3	11	11	12	22	11	12	12	19	16	15	20	15	17.2	17	14	15	15	13	NA	16.2	24	13	11	NA	15	19	22	14	16	13	15	15	10	20	15	14	18	14	NA	7	15.2	17	16	15	10.5	15	21	16
1989	12	24	11	15	16	NA	14	NA	12	12	15	20	16	15	16	14	21	14.2	18	18	16.2	21	17	10	17	13	16	13	17	17	10	16	14	15	16	20	NA	11.3	19	11	NA	NA	12	11	9	20	12	20	NA	10	14	19.3	9	11	10	18	9	9	9	17	15	15	16	15	16.6	15	12	15	15	10	NA	15	23	13	12	NA	17	20	14	13	13	11	15	13	11	18	14	14	19	14	NA	8	14.4	17	15	11.5	10	16	21	14
1989	12	25	10	15	17	NA	12	NA	12	15	15	15	15.5	15.5	16	14	18	13.8	17	15	16	18.6	16	12	17	11	17	13	17	18	10	16	14	17	16	18	NA	11	18	13	NA	NA	12	11	14.5	10	12	18	NA	12	14	16	10	11.5	11	17	11	10	8	14	15	13	16	17	18	16	13	16	16	10	NA	14.6	25	13	13	NA	14.5	19	14	13	13	11	15	14	10	17	15	14	18	13	NA	7	15.2	15	17	14.5	10	15	16	13
1989	12	26	9	14	16	NA	13	NA	12	12	14	14	15.5	14.5	18	14	16	14.6	12	15	15.8	16	16	9	17	14	17	13	15	16	11	14	14	16	15	18	NA	10	22	13	NA	9.2	14	12	15	10	11	17	NA	10	13	16.3	9	9	10	16	9	11	8	16	16	13	14	15	17	16	13	15	15	10	NA	14.4	24	12	12	NA	11	17	14	15	13	10	15	12	6.5	16	13	14	18	14	NA	3	15	15	16	15	10	14	14	12
1989	12	27	8	14	15	NA	13	NA	11	10	13	15	15.5	14.5	15	11	16	15.4	15	15	15.2	16.6	15	10	15	11	16	14	10	15	8	14	11	13	14	12.5	NA	10	13	13	NA	6	9	11	14.6	6	6	11	NA	7	13	15.4	9	8	6	13	6	5	9	11	16	11	13	17	16.6	16	13	15	15	12	NA	11.4	24	9	9	NA	14	12	10	13	12	10	16	10	6	15	13	14	19	12	NA	2	15.2	17	17	15	10.5	16	13	13
1989	12	28	8	13.5	14	NA	10	NA	10	9	13	14	15	13.5	15	12	13	14.8	15	15	14.8	16.2	16	11	15	13	16	12	7	14	8	14	10	12	13	14	NA	8.6	10	11	NA	4	5	9	15	5	5	11	NA	8	13	15.2	9	5.5	6	12	5	5	8	11	15	13	13	15	14	15	12	13	15	10	NA	10.2	13	12	6	NA	13	12	9	13	10	9	13	9	7	14	12	11	14	10	NA	1	12	13	14	12.5	7.5	10	10	13
1989	12	29	7	11	15	NA	13	NA	10	9	13	12	15	13	15	12	13	14.4	15	15	14.2	15.8	14	10	15	13	16	14	8	14	8	13	11	12	12	14	NA	9.5	8	12	NA	9	9	10	16	7	9	14	NA	9	9	13.2	9	5.5	8	16	9	7	9	13	16	13	13	16	15.2	15	12	13	15	10	NA	10.6	19	11	9	NA	6	12	11	12	10	10	13	10	7	13	10	12	14	10	NA	8	13.4	14	14	12.5	9	9	10	13
1989	12	30	8	11	12	NA	13	NA	8	9	11	14	15	13	16	13	12	15.4	16	15	13.2	16	12	10.5	15	14	15	15	9	14	9	13	12	12	12	14	NA	8.8	9	12	NA	NA	8.2	9.5	11	7	7	11	NA	8	10	13.3	9	8	7	11	6	6	10	13	16	10	14	13	13	13	11	13	13	11	NA	12	19	10	9	NA	15	13	10	13	13	10	14	11	7.5	14	12	12	14	12	NA	6	13.4	15	15	12	8.5	10	13	13
1989	12	31	11	14	15	NA	13	NA	8	9	14	14	15	13	16	14	11	15	16	15	15.4	16.4	11	10.5	15	14	16	15	10	14	9	12	12	12	12	14	NA	9	8	8	NA	NA	6.5	9.5	12	7	8	NA	NA	8	12	12.2	9	8	6	12	6	6	9	13	16	9	13	13	15	14	13	13	13	11	NA	12	19	10	10	NA	15	14	10	13	12	10	15	12	13	14	13	11	16	11	NA	5	14	16	15	14	8.5	10	13	13
1990	01	01	9	14	14	NA	11	13	10	10	13	15	NA	14	16	14	12	15	16	14	14.2	14.4	15	12.5	15	14	15	14	9	16	9	15	12	12	11	14.5	NA	8.5	10	8	NA	6	10.5	9	15	8	7	14	NA	11	9	10.5	9	6	8	14	8	6	10	13.5	15	11	12	16	15	14	10	14	13	10	NA	11.5	19	11	10	20	9	14	10	15	12	8	15	10	8	14	8	13	13	10	NA	5	13.6	15	15	12.5	8.5	14	10	10
1990	01	02	8	13	14	NA	14	10	11	9	13	15	NA	13.5	15	14	13	15.5	15	17	14	14.1	15	11.5	17	12	16	14	10	15	9	14	13	15	14	14	NA	10	12	10	NA	5	7	10	11.5	8	8	15	NA	8	12	10.5	9	4	8	15	8	7	9	15	14	13	13	15	14.2	14	11	13	14	12	NA	13.5	13	10	9	14	9	15	11	16	12	8	14	10	10.5	14	12	12	16	10	NA	8	13.6	15	15	13.5	9	11	12	10
1990	01	03	11	14	15	NA	13	14	11	11	10	14	NA	14.5	16	14	13	15	17	16	16	16.8	17	9	16	12	16	15	9	17	10	15	14	14	10	13.5	NA	10.5	13	11	NA	8.2	11.5	11	15	10	9	16	NA	10	13	9.5	10	8	8	15	9	9	10	14	15	13	12	11	14.8	15	13	15	16	11	NA	14	21	11	12	16	14	15	14	14	12	10	15	14	6	15	12	13	15	10	NA	10	14.2	14	16	15	9.5	14	13	8
1990	01	04	11	14	15	NA	12	13	9	9	13	15	NA	14	15	13	15	13.5	15	15	15.4	15.4	14	12	15	12	16	15	11	14	9	13	13	13	9	13.5	NA	10	11	6	NA	6.2	7	11	16	8	6	11	NA	8	13	9	9	8.5	8	15	5	6	11	11	15	12	13	13	13	15	13	13	14	14	NA	10.5	20	8	7	13	14	19	10	13	12	7	14	9	7.5	15	12	12	15	11	NA	5	13.2	12	15	12.5	8.5	13	14	13
1990	01	05	11	14	14	NA	14	8	9	9	13	15	NA	13	15	13	15	15	15	16	15	14.1	16	10	15	13	16	14	9	14	8	13	11	12	11	13.5	NA	8.5	9	7	NA	5	5	10	14.5	5	7	11	NA	8	12	9.5	9	10	6	16	7	6	11	12	16	12	12	16	14	15	12	13	14	10	NA	11	19	10	9	16	14	12	10	14	12	8	14	10	7.5	15	12	12	14	11	NA	5	12.4	13	15	13.5	8	10	13	12
1990	01	06	11	13	15	NA	16	14	11	9	13	14	NA	14.5	16	13	15	14.5	16	16	14	14.6	15	12	15	9	15	13	8	16	9	13	11	10	9	13	NA	10	9	10	NA	7.2	9	10	18	8	9	14	NA	11	12	10.5	9	10	10	15	9	7	10	15	15	13	12	14	14.7	14	12	14	14	10	NA	10.5	11	11	9	13	11	10	11	8	12	11	14	9	6.5	15	12	12	14	11	NA	5	13.2	15	15	13	8.5	6	14	13
1990	01	07	10	11	16	NA	19	10	12	13	12	15	NA	15	17	14	15	14.5	17	14	15.8	17.6	17	12.5	15	15	16	14	17	17	10	16	11	10	11	18.5	NA	7.5	8	11	NA	4.4	5	8	6	8	7	14	NA	6	12	10	7	7.5	10	12	6	5	10	15.5	11	11	12	14	11	13	9	12	13	12	NA	10	12	12	8	12	11	11	11	10	11	10	12	9	7.5	10	12	11	15	10	NA	5	12.2	12	14	11	8.5	7	11	13
1990	01	08	9	13	16	NA	21	14	10	11	14	16	NA	14	16	14	14	13.5	17	10	15.2	16.9	17	10	13	12	15	15	14	16	10	14	12	13	10	21.5	NA	8	9	11	NA	7	9.5	10	11.5	8	9	14	NA	8	10	10	9	7	9	14	9	7	11	15.5	15	10	12	11	12	13	12	12	14	10	NA	10.5	13	11	8	15	12	14	10	12	11	11	12	10	11	13	13	12	17	10	NA	6	12	11	13	10.5	8.5	8	10	11
1990	01	09	11	12	15	NA	20	14	10	10	11	15	NA	15	17	11	12.5	12.5	15	13	11.2	13.8	14	10	15	10	15	15	14	15	9	14	15	15	16	18	NA	8.5	10	12	NA	8.2	10	10	17	10	10	16	NA	8	9	9	9	10	8	15	9	7	9	14	14	11	13	11	12	13	11	12	12	11	NA	13.5	21	20	11	16	14	15	7	14	12	11	13	12	10	13	9	12	16	13	NA	10	12.4	14	13	12	8.5	9	11	13
1990	01	10	10	15	16	NA	17	15	11	11	14	15	NA	14.5	16	13	12	13.5	15	13	14.2	15.8	14	10	15	12	15	15	18	14	8	14	14	15	11	18.5	NA	10	11.5	12	NA	7	9	10	15	10	10	16	NA	11	12	9	11	10	10	16	9	9	10	16	16	13	13	14	16	16	14	16	16	11	NA	14.5	20	13	11	13	14	15	7	15	12	13	15	13	10	14	13	12	17	13	NA	11	13.6	16	15	13	10	10	12	14
1990	01	11	10	14	16	NA	21	14	10	10	13	16	NA	13	17	13	13	11.5	14	16	14.6	15.5	13	12	17	12	14	15	13	14	8	14	14	14	11	18	NA	10.5	12	10	NA	7.2	7	13	14	8	8	14	NA	8	12	10	10	9	8	16	8	7	9	15	16	13	15	15	15	17	13	16	15	14	NA	13	17	12	12	9	15	15	14	12	13	12	15	13	10	14	14	13	17	14	NA	9	15	16	17	14	10	15	8	15
1990	01	12	10	14	16	NA	22	14	10	10	14	15	NA	12.5	17	13	13	12.5	16	15	15.8	16.5	16	12	15	13	16	15	14	16	10	14	10	15	11	18	NA	11.5	14	12	NA	NA	8	13	15	8	8	15	NA	10	12	10.5	9	11	9	15	9	8	9	16	17	15	15	15	17	17	14	16	15	14	NA	12.5	16	12	11	18	17	15	12	12	13	11	15	12	9.5	15	14	14	17	14	NA	4	13.8	16	17	15.5	10.5	10	13	14
1990	01	13	10	14	16	NA	21	14	11	10	13	15	NA	15	16	13	13	14.5	14	16	15	15.1	15	12	15	14	16	15	15	15	9	13	14	15	9	18.5	NA	12	14	12	NA	8	10	13	18	8	8	13	NA	11	10	11.5	9	10.5	9	13	9	9	9	12	17	15	14	17	17	17	14	15	15	15	NA	13.5	17	13	12	17	14	15	13	12	13	10	16	13	10	16	15	14	14	12	NA	3	14.8	17	15	18.5	10.5	16	14	13
1990	01	14	10	14	15	NA	11	15	11	10	13	14	NA	14.5	15	13	14	13.5	15	16	14.8	15.3	16	13	17	12	16	14	17	16	10	15	14	15	11	18.5	NA	10	13	12	NA	8	11.5	11	18	10	10	17	NA	11	12	11.5	10	10.5	9	15	9	9	10	15	16	15	13	17	15	15	12	15	14	12	NA	13.5	15	12	11	16	6	15	14	12	13	11	17	11	10	15	10	13	14	11	NA	3	12.6	15	15	13.5	8.5	15	14	13
1990	01	15	10	14	14	NA	14	14	11	11	13	15	NA	15	15	14	15	14	15	15	14.2	15.2	15	12.5	16	12	16	14	16	17	10	15	11	16	9	18.5	NA	10	13	10	NA	7.4	10	10	19	8	10	16	NA	11	13	10.5	9	10	10	16	9	9	10	15	16	13	14	10	15.5	15	12	15	15	13	NA	13.5	18	12	11	16	5	15	13	15	12	9	14	13	10.5	14	10	14	14	11	NA	3	13.6	15	16	13.5	8.5	10	12	13
1990	01	16	10.5	14	16	NA	10	14	11	11	13	15	NA	15.5	16	14	16.5	16	16	16	15.2	16.3	16	10	16	12	16	14	16	16	10	15	14	14	9	18	NA	12	13	11	NA	8	13	11	11	10	11	15	NA	10	12	10.5	9	11	10	15	9	9	11	14	14	15	14	11	16.7	16	13	15	15	13	NA	13.5	15	13	12	16	10	14	14	15	12	12	14	12	10.5	15	9	15	14	10	NA	9	14.2	17	16	14.5	10	9	13	14
1990	01	17	11	14	16	NA	10	15	12	11	15	15	NA	15	15	14	16	17	17	16	14.8	16.7	16	13	17	15	16	15	17	17	11	15	10	15	11	17.5	NA	12	13	12	NA	8	13	12	17.5	10	12	17	NA	11	14	12.5	11	11	11	15	9	9	11	15	15	14	15	10	15.5	15	13	15	16	13	NA	13.5	18	13	12	16	14	16	14	13	13	12	16	13	10	15	12	14	16	14	NA	10	14.2	16	16	14	10.5	10	13	15
1990	01	18	11	15	16	NA	20	14	12	12	15	15	NA	15.5	16	14	15	16.5	17	17	15.6	17.2	16	13	17	14	16	14	17	17	11	15	14	16	12	16	NA	10	10	12	NA	7	8.5	10	10	10	12	18	NA	10	12	12.5	10	11.5	11	16	9	9	12	16	15	13	14	16	14.6	15	13	15	14	13	NA	12.5	14	12	11	15	14	16	13	12	15	13	14	13	8	14	12	14	16	14	NA	9	15.2	17	16	14	9.5	11	13	14
1990	01	19	11	15	16	NA	15	9	14	11	14	14	NA	15	17	14	15	14.5	17	17	15.6	17	16	11.5	16	15	16	15	16	17	11	15	7.5	14	11	16	NA	11.5	13	13	NA	7.6	9	12	15	10	10	12	NA	10	14	12.5	11	11	9	15	9	10	13	15	16	13	13	16	15.5	16	13	15	16	10	NA	11.5	19	11	10	16	14	14	13	12	14	12	14	11	11.5	14	11	14	16	12	NA	8	14.2	15	16	14	9.5	10	12	15
1990	01	20	11	15	16	NA	16	15	13	11	15	13	NA	14	17	14	15	14.5	18	17	15.8	17.2	14	12.5	17	11	17	15	17	16	9	14	14	15	10	17.5	NA	12.5	13	13	NA	10	17	11	14	10	13	17	NA	11	15	14.5	10	8	10	16	10	10	13	16	16	16	14	18	16.5	16	13	13	17	10	NA	14	19	12	13	16	14	16	14	12	14	11	14	12	11	15	11	15	13	10	NA	12	13.8	13	15	15	10	13	13	10
1990	01	21	11	15	16	NA	10	15	12	11	15	14	NA	15	17	14	15	13.5	16	10	15	16.3	15	13	16	12	16	14	16	17	11	14	14	17	9	16.5	NA	13	14	12	NA	11.4	12	13	13.5	10	11	17	NA	14	16	15	13	10	10	16	12	9	13	15	16	15	14	21	16.5	15	14	14	15	11	NA	13	20	13	13	16	15	16	15	12	13	12	15	14	11	16	12	14	15	12	NA	3	14.4	16	17	15	10	10	12	10
1990	01	22	10.5	11	14	NA	18	15	12	12	15	14	NA	14	15	13	15	12.5	12	11	10	11.6	13	5.5	17	11	11	13	13	12	15	14	13.5	15	9	16	NA	13	14	11	NA	10	15	13	18	11	9	15	NA	11	14	15	13	10	8	13	12	12	12	12	15	15	14	16	11.8	13	12	12	10	10	NA	12.5	21	13	13	16	14	16	14	12	12	11	15	13	13.5	16	11	14	16	12	NA	6	14.4	14	16	15	11.5	11	12	14
