yy	mm	dd	Sardegna_CA011B097	Sardegna_CA013B093	Sardegna_CA026B079	Sardegna_CA029B017	Sardegna_CA030B175	Sardegna_CA034B191	Sardegna_CA038B170	Sardegna_CA039B232	Sardegna_CA045B021	Sardegna_CA047B226	Sardegna_CA051B276	Sardegna_CA054B109	Sardegna_CA061B225	Sardegna_CA067B113	Sardegna_CA069B312	Sardegna_CA073B050	Sardegna_CA073B171	Sardegna_CA078B229	Sardegna_CA082A008	Sardegna_CA082B039	Sardegna_CA084B044	Sardegna_CA085B210	Sardegna_CA086B062	Sardegna_CA088B119	Sardegna_CA092B140	Sardegna_CA095B182	Sardegna_CA102B148	Sardegna_CA103B212	Sardegna_CA104B056	Sardegna_CA104B085	Sardegna_CA105B047	Sardegna_NU002B035	Sardegna_NU004B216	Sardegna_NU015B068	Sardegna_NU016B126	Sardegna_NU022B201	Sardegna_NU034B095	Sardegna_NU042B031	Sardegna_NU043B096	Sardegna_NU045B433	Sardegna_NU048B065	Sardegna_NU058B202	Sardegna_NU060B054	Sardegna_NU063B023	Sardegna_NU063B025	Sardegna_NU063B172	Sardegna_NU063B227	Sardegna_NU065B051	Sardegna_NU067B101	Sardegna_NU073B090	Sardegna_NU076B127	Sardegna_NU076B180	Sardegna_NU077B067	Sardegna_NU078B020	Sardegna_NU079B194	Sardegna_NU083B009	Sardegna_NU085B070	Sardegna_NU090B049	Sardegna_NU095B211	Sardegna_OR004B207	Sardegna_OR009B001	Sardegna_OR025B037	Sardegna_OR030B156	Sardegna_OR032E006	Sardegna_OR038B181	Sardegna_OR039B174	Sardegna_OR042B200	Sardegna_OR073B221	Sardegna_OR077B103	Sardegna_SS001B271	Sardegna_SS002B078	Sardegna_SS003B139	Sardegna_SS005B003	Sardegna_SS012B002	Sardegna_SS013B169	Sardegna_SS013B224	Sardegna_SS014B110	Sardegna_SS015B041	Sardegna_SS018B022	Sardegna_SS022B165	Sardegna_SS022B187	Sardegna_SS025B151	Sardegna_SS028B107	Sardegna_SS028B236	Sardegna_SS038B038	Sardegna_SS038B111	Sardegna_SS042B045	Sardegna_SS051B087	Sardegna_SS052B048	Sardegna_SS053B458	Sardegna_SS054B034	Sardegna_SS059B061	Sardegna_SS059B159	Sardegna_SS060B237	Sardegna_SS068B230	Sardegna_SS073B028	Sardegna_SS077B168	Sardegna_SS086B155
1982	01	24	3	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	7.5	NA	NA	2	8.4	5	NA	4	6	NA	NA	NA	NA	0	NA	4	NA	NA	1	5	8	NA	NA	8	NA	0	NA	NA	NA	NA	NA	-1.5	NA	NA	NA	NA	-3	4	2	NA	2	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5	NA	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	4	NA	0	3
1982	01	25	0.8	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	3.5	NA	NA	3	4.4	3	NA	1.2	4.5	NA	NA	NA	NA	1	NA	4	NA	NA	2	4	8	NA	NA	6	NA	0	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	-5	2	1.4	NA	-4.5	NA	NA	NA	NA	NA	0	NA	NA	NA	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1.5	NA	-1	1
1982	01	26	2	NA	NA	NA	NA	NA	NA	NA	NA	4.5	NA	4	NA	NA	3	3.8	4	NA	2.6	4	NA	NA	NA	NA	2	NA	4	NA	NA	3	4	6	NA	NA	3	NA	4	NA	NA	NA	NA	NA	-4	NA	NA	NA	NA	-5	3	1.3	NA	-4	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	0	1
1982	01	27	4	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	5.5	NA	NA	2	4.2	5	NA	2.4	5	NA	NA	NA	NA	4	NA	3	NA	NA	3	6	6	NA	NA	3.8	NA	3	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	-4	3	2.4	NA	-1	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5.1	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1.5	NA	0	2
1982	01	28	3.5	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	6	NA	NA	4	4.4	6	NA	2.8	5.5	NA	NA	NA	NA	5	NA	5	NA	NA	2	4	7	NA	NA	6.5	NA	1	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	-4	3	2.7	NA	-1.5	NA	NA	NA	NA	NA	2	NA	NA	NA	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4.5	NA	2	1
1982	01	29	3.8	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	3.5	NA	NA	2	4.6	5	NA	4	6.5	NA	NA	NA	NA	5.5	NA	6	NA	NA	4	4.5	8	NA	NA	6.8	NA	4	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	-3	3	3.2	NA	-1	NA	NA	NA	NA	NA	1.5	NA	NA	NA	4	NA	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3.5	NA	2	1.5
1982	01	30	4	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	5	NA	NA	4	4.8	8	NA	8.8	9	NA	NA	NA	NA	5	NA	5	NA	NA	5	5	12	NA	NA	5.2	NA	3	NA	NA	NA	NA	NA	2.4	NA	NA	NA	NA	-2	6	3.4	NA	3	NA	NA	NA	NA	NA	5.5	NA	NA	NA	5	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5.5	NA	0.5	1.5
1982	01	31	4	NA	NA	NA	NA	NA	NA	NA	NA	11.5	NA	9	NA	NA	3	5.2	11	NA	10.2	9.5	NA	NA	NA	NA	7.5	NA	7	NA	NA	6	6	8	NA	NA	11.8	NA	7	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	-2	7	2.7	NA	-4	NA	NA	NA	NA	NA	6	NA	NA	NA	4	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	7	NA	2	1
1982	02	01	5	NA	NA	NA	NA	NA	NA	NA	NA	10.5	NA	6	NA	NA	2	7.8	9	NA	8.4	11	NA	NA	NA	NA	8	NA	5	NA	NA	5	5	8	NA	NA	12.5	NA	7	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	-3	5	3.6	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	5	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	5.5	NA	0	0
1982	02	02	7	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	11	NA	NA	5	7.4	10	NA	7.6	12.5	NA	NA	NA	NA	8	NA	6	NA	NA	5	5	7	NA	NA	6.8	NA	6	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	-4	6	5.5	NA	2.5	NA	NA	NA	NA	NA	5.5	NA	NA	NA	5.3	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5.5	NA	0	6
1982	02	03	4	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	6	NA	NA	3	7.6	5	NA	3.2	9	NA	NA	NA	NA	7	NA	9	NA	NA	3	4	5	NA	NA	7.5	NA	4	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	-4	3	5.7	NA	-1	NA	NA	NA	NA	NA	2	NA	NA	NA	5.3	NA	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2.5	NA	-1	2
1982	02	04	4	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	7	NA	NA	1	8.2	7	NA	5.8	7	NA	NA	NA	NA	7	NA	8	NA	NA	3	6	5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	-3	4	5.3	NA	-1	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5.2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	-3	2
1982	02	05	4	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	8.5	NA	NA	2	10.2	7	NA	8.8	6.5	NA	NA	NA	NA	4	NA	9	NA	NA	4	9	6	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	-3	7	4.3	NA	2	NA	NA	NA	NA	NA	4	NA	NA	NA	5.3	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	5	NA	0	2
1982	02	06	6	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	8	NA	NA	4	8.6	9	NA	7.6	6.5	NA	NA	NA	NA	5	NA	12	NA	NA	6	8	6	NA	NA	6.2	NA	NA	NA	NA	NA	NA	NA	5.5	NA	NA	NA	NA	-2	6	4.8	NA	1	NA	NA	NA	NA	NA	4.5	NA	NA	NA	5	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	1	2
1982	02	07	4	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	5	NA	NA	4	7.2	7	NA	4.8	6	NA	NA	NA	NA	6	NA	8	NA	NA	4	6	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	6.3	NA	NA	NA	NA	-2	5	6.3	NA	-1	NA	NA	NA	NA	NA	3.5	NA	NA	NA	5.3	NA	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	1	1
1982	02	08	4	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	7.5	NA	NA	3	9.2	7	NA	6.4	6.5	NA	NA	NA	NA	5.5	NA	10	NA	NA	4	6	7	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	5.4	NA	NA	NA	NA	-4	6	6.4	NA	0.5	NA	NA	NA	NA	NA	4	NA	NA	NA	5	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5.5	NA	0	0
1982	02	09	3.8	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	7.5	NA	NA	3	8.2	8	NA	5	9	NA	NA	NA	NA	2	NA	9	NA	NA	5	7	6	NA	NA	6.8	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	-1	7	6.9	NA	0.5	NA	NA	NA	NA	NA	6	NA	NA	NA	5.2	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5.5	NA	1	0
1982	02	10	5.3	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	6	NA	NA	2	8.2	6	NA	4.6	8.5	NA	NA	NA	NA	2	NA	7	NA	NA	4	7	7	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	-3	5	7	NA	-1	NA	NA	NA	NA	NA	5	NA	NA	NA	5	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	5	NA	0	0
1982	02	11	5	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	6	NA	NA	2	6.8	5	NA	2.4	7	NA	NA	NA	NA	2	NA	5	NA	NA	4	5.5	7	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	10.5	NA	NA	NA	NA	-3	4	7.4	NA	-1.5	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	1	0
1982	02	12	4.8	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	6	NA	NA	2	6.4	4	NA	1.6	6.5	NA	NA	NA	NA	2	NA	3	NA	NA	3	5	6.5	NA	NA	5.2	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	-4	4	5.3	NA	-2.5	NA	NA	NA	NA	NA	2.5	NA	NA	NA	2	NA	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.5	NA	1	0
1982	02	13	5	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	8	NA	NA	3	10.4	10	NA	8	9	NA	NA	NA	NA	4	NA	6	NA	NA	4	8	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	6.2	NA	NA	NA	NA	-4	6	5	NA	-1	NA	NA	NA	NA	NA	4.5	NA	NA	NA	4	NA	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	3.5	NA	0	0
1982	02	14	4.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	7.5	NA	NA	4	7.6	8	NA	7.6	8	NA	NA	NA	NA	4	NA	9	NA	NA	4	7	7	NA	NA	7.2	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	-3	6	7.2	NA	0	NA	NA	NA	NA	NA	5	NA	NA	NA	5.1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	6	NA	-2	2
1982	02	15	5.2	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	7	NA	NA	4	7.2	7	NA	5	6.5	NA	NA	NA	NA	9	NA	6	NA	NA	3	8	8	NA	NA	7.5	NA	4	NA	NA	NA	NA	NA	7.5	NA	NA	NA	NA	-3	6	7.3	NA	0	NA	NA	NA	NA	NA	3.5	NA	NA	NA	4	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA	1	1
1982	02	16	9	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	12	NA	NA	7	8.4	11	NA	12.4	12	NA	NA	NA	NA	6.5	NA	9	NA	NA	4	8	6.5	NA	NA	7	NA	6	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	-2	9	9.4	NA	4.5	NA	NA	NA	NA	NA	4	NA	NA	NA	5	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4.5	NA	-1	4
1982	02	17	9	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	12.5	NA	NA	11	7.4	12	NA	11	13	NA	NA	NA	NA	10	NA	5	NA	NA	7	9	13	NA	NA	12.8	NA	6	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	3	10	9	NA	7	NA	NA	NA	NA	NA	9.5	NA	NA	NA	5.4	NA	11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	NA	0	6
1982	02	18	7	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	8.5	NA	NA	9	8.4	9	NA	9.8	10	NA	NA	NA	NA	10	NA	6	NA	NA	6	9	11	NA	NA	9.5	NA	8	NA	NA	NA	NA	NA	5.2	NA	NA	NA	NA	3	7	6.4	NA	3.5	NA	NA	NA	NA	NA	6	NA	NA	NA	10	NA	8.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	7	NA	1	6
1982	02	19	7	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	8.5	NA	NA	7	9.4	8	NA	7	9.5	NA	NA	NA	NA	11	NA	9	NA	NA	0.5	8.5	9	NA	NA	8.5	NA	6	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0	7	4.6	NA	1	NA	NA	NA	NA	NA	5	NA	NA	NA	5.2	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	7.5	NA	0	6
1982	02	20	8.5	NA	NA	NA	NA	NA	NA	NA	NA	11.5	NA	10.5	NA	NA	9	8.4	10	NA	7.8	12	NA	NA	NA	NA	10.5	NA	9	NA	NA	6	9.5	10	NA	NA	9	NA	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	0	7	3.3	NA	2	NA	NA	NA	NA	NA	6.5	NA	NA	NA	10	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	6.5	NA	1	7
1982	02	21	7	NA	NA	NA	NA	NA	NA	NA	NA	9.5	NA	8	NA	NA	9	8.8	7	NA	6.2	10	NA	NA	NA	NA	4	NA	6	NA	NA	4	8	8	NA	NA	8.5	NA	4	NA	NA	NA	NA	NA	2.5	NA	NA	NA	NA	-2	7	0.5	NA	-1	NA	NA	NA	NA	NA	5	NA	NA	NA	5.4	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	6	NA	0	7
1982	02	22	2	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	NA	NA	9	4.2	3	NA	5.8	7	NA	NA	NA	NA	3	NA	6	NA	NA	2	5	4.5	NA	NA	3.5	NA	-1	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	-2	1	0.3	NA	-3	NA	NA	NA	NA	NA	0	NA	NA	NA	5.3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	-1	NA	-2	0
1982	02	23	0.5	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5.5	NA	NA	5	5.4	4	NA	5.2	5	NA	NA	NA	NA	5	NA	6	NA	NA	2	5	3	NA	NA	3.2	NA	0	NA	NA	NA	NA	NA	3.5	NA	NA	NA	NA	-2	1	3.2	NA	-3	NA	NA	NA	NA	NA	0	NA	NA	NA	5.2	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.5	NA	0	1
1982	02	24	2	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	5	NA	NA	7	4.8	5	NA	5	6	NA	NA	NA	NA	6	NA	7	NA	NA	3	6	3.5	NA	NA	3	NA	3	NA	NA	NA	NA	NA	3.6	NA	NA	NA	NA	-5	3	3	NA	-1	NA	NA	NA	NA	NA	2	NA	NA	NA	4	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2.5	NA	0	1
1982	02	25	3	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	6.5	NA	NA	7	5.2	5	NA	5	7	NA	NA	NA	NA	7	NA	5	NA	NA	2	6.5	6	NA	NA	3.8	NA	2	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	-4	3	3.2	NA	-1	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	1	4.5
1982	02	26	4.3	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	8	NA	NA	7	5.6	7	NA	4.8	7.5	NA	NA	NA	NA	8	NA	3	NA	NA	3	8	7	NA	NA	3.5	NA	4	NA	NA	NA	NA	NA	3.5	NA	NA	NA	NA	-3	4	2.4	NA	0.5	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5.1	NA	5.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3.5	NA	0	5
1982	02	27	1.5	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	4.5	NA	NA	3	4.2	3	NA	4.2	5	NA	NA	NA	NA	5	NA	4	NA	NA	2	6	5	NA	NA	4.2	NA	1	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	-1	1	1.3	NA	-1.5	NA	NA	NA	NA	NA	-0.5	NA	NA	NA	5	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.5	NA	-2	3
1982	02	28	1.5	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	3	NA	NA	1	4.6	4	NA	1.2	5.5	NA	NA	NA	NA	2	NA	3	NA	NA	1	9	8	NA	NA	7.2	NA	0	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	-1	1	0.3	NA	-1	NA	NA	NA	NA	NA	0.5	NA	NA	NA	4	NA	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3.5	NA	-2	-2
1982	03	01	1	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	6	NA	NA	4	4.8	6	NA	3.6	6	NA	NA	NA	NA	5	NA	2	NA	NA	3	4	5	NA	NA	5.8	NA	2	NA	NA	NA	NA	NA	-1.5	NA	NA	NA	NA	-2	5	0.9	NA	-1	NA	NA	NA	NA	NA	2	NA	NA	NA	5.1	NA	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	NA	-3	2
1982	03	02	9	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	12	NA	NA	7	9.6	11	NA	11.2	12	NA	NA	NA	NA	2	NA	5	NA	NA	3	10.5	12	NA	NA	13	NA	7	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	-2	8	2.4	NA	4.5	NA	NA	NA	NA	NA	6	NA	NA	NA	5.1	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	8	NA	1.5	2
1982	03	03	7	NA	NA	NA	NA	NA	NA	NA	NA	10.5	NA	7.5	NA	NA	5	4.2	6	NA	6	9	NA	NA	NA	NA	6	NA	6	NA	NA	4	6	11	NA	NA	11	NA	5	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	-2	5	2.3	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	10	NA	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	5.5	NA	1	2
1982	03	04	3.5	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	6	NA	NA	3	8.4	6	NA	3.8	7	NA	NA	NA	NA	7	NA	4	NA	NA	4	4	6	NA	NA	7.2	NA	2	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	-2	6	3.7	NA	-1	NA	NA	NA	NA	NA	6.5	NA	NA	NA	10.1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5.5	NA	1	1
1982	03	05	5.5	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	10	NA	NA	4	8.4	6	NA	8	7.5	NA	NA	NA	NA	4	NA	7	NA	NA	3	8	8	NA	NA	8	NA	4	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	-3	4	3.4	NA	1	NA	NA	NA	NA	NA	7	NA	NA	NA	4	NA	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	4.5	NA	0	1
1982	03	06	4	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	7.5	NA	NA	5	8.4	5	NA	6.2	8	NA	NA	NA	NA	5	NA	9	NA	NA	2	8	8	NA	NA	7	NA	4	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	-4	4	2.5	NA	0	NA	NA	NA	NA	NA	3	NA	NA	NA	5	NA	6.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3.7	NA	2	1
1982	03	07	2.5	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	3.5	NA	NA	5	4.8	4	NA	4	7.5	NA	NA	NA	NA	4	NA	5	NA	NA	1	4	7	NA	NA	5.2	NA	1	NA	NA	NA	NA	NA	-3.4	NA	NA	NA	NA	-5	3	2.6	NA	-2	NA	NA	NA	NA	NA	2.5	NA	NA	NA	5.1	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2.8	NA	-1	1
